burnIn   <= 54003000,   maxState  = 540030000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.indicators.Northern_Africa.Micronesia	0.179	0.3834	0	0	1	1572.3053	0	0	
Geography.indicators.Northern_Africa.Melanesia	0.1701	0.3757	0	0	1	1024.5549	0	0	
Geography.indicators.Eastern_Africa.Western_Africa	0.6773	0.4675	1	0	1	51.7593	1	1	*
Geography.indicators.Eastern_Africa.Southern_Africa	0.9999	9.0716E-3	1	1	1	32408.002	1	1	
Geography.indicators.Eastern_Africa.Micronesia	0.0306	0.1723	0	0	0	3220.1755	0	0	
Geography.indicators.Eastern_Africa.Melanesia	0.0404	0.1968	0	0	0	2412.8001	0	0	
Geography.indicators.Western_Africa.Southern_Africa	0.0241	0.1532	0	0	0	14968.8803	0	0	
Geography.indicators.Western_Africa.Micronesia	0.0961	0.2948	0	0	1	2044.2811	0	0	
Geography.indicators.Western_Africa.Melanesia	0.0697	0.2546	0	0	1	2327.8526	0	0	
Geography.indicators.Southern_Africa.Micronesia	0.0967	0.2956	0	0	1	2160.469	0	0	
Geography.indicators.Southern_Africa.Melanesia	0.0985	0.2979	0	0	1	2317.4891	0	0	
Geography.indicators.Micronesia.Melanesia	0.1674	0.3733	0	0	1	1510.3624	0	0	
Geography.nonZeroRates	14.7338	1.0491	15	13	17	12946.4795	14	15	
