statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.indicators.Western_Asia.South_Eastern_Asia	4.93E-03	0.07	0	0	0	14291.4608	0	0
Geography.indicators.Western_Asia.Southern_Europe	6.18E-03	0.0783	0	0	0	14125.3009	0	0
Geography.indicators.Western_Asia.Western_Europe	5.97E-03	0.077	0	0	0	13776.8259	0	0
Geography.indicators.Western_Asia.Eastern_Europe	1	0	0	0	0	1.00E+05	0	0
Geography.indicators.Western_Asia.Eastern_Africa	3.95E-03	0.0628	0	0	0	13667.1328	0	0
Geography.indicators.Western_Asia.Western_Africa	3.19E-03	0.0564	0	0	0	14413	0	0
Geography.indicators.Western_Asia.Southern_Africa	6.18E-03	0.0783	0	0	0	13554.3214	0	0
Geography.indicators.Western_Asia.Micronesia	6.18E-03	0.0783	0	0	0	13819.047	0	0
Geography.indicators.Western_Asia.Melanesia	6.18E-03	0.0783	0	0	0	13272.0021	0	0
Geography.indicators.Southern_Asia.South_Eastern_Asia	1	0	0	0	0	1.00E+05	0	0
Geography.indicators.Southern_Asia.Southern_Europe	9.92E-03	0.0991	0	0	0	10658.2453	0	0
Geography.indicators.Southern_Asia.Western_Europe	4.37E-03	0.066	0	0	0	13232.8483	0	0
Geography.indicators.Southern_Asia.Eastern_Europe	0.9949	0.071	1	1	1	12886.2227	1	1
Geography.indicators.Southern_Asia.Eastern_Africa	1	0	0	0	0	1.00E+05	0	0
Geography.indicators.Southern_Asia.Western_Africa	4.86E-03	0.0695	0	0	0	14281.7638	0	0
Geography.indicators.Southern_Asia.Southern_Africa	3.05E-03	0.0552	0	0	0	13947.8541	0	0
Geography.indicators.Southern_Asia.Micronesia	2.36E-03	0.0485	0	0	0	12345.8172	0	0
Geography.indicators.Southern_Asia.Melanesia	4.16E-03	0.0644	0	0	0	13508.2463	0	0
Geography.indicators.South_Eastern_Asia.Southern_Europe	0.9247	0.264	1	0	1	11077.9317	1	1
Geography.indicators.South_Eastern_Asia.Western_Europe	1	0	0	0	0	1.00E+05	0	0
Geography.indicators.South_Eastern_Asia.Eastern_Europe	0.9385	0.2403	1	0	1	12762.7111	1	1
Geography.indicators.South_Eastern_Asia.Eastern_Africa	0.9619	0.1914	1	1	1	11401.6729	1	1
Geography.indicators.South_Eastern_Asia.Western_Africa	7.22E-03	0.0846	0	0	0	12274.0895	0	0
Geography.indicators.South_Eastern_Asia.Southern_Africa	0.9999	8.33E-03	1	1	1	14413	1	1
Geography.indicators.South_Eastern_Asia.Micronesia	0.9886	0.1061	1	1	1	6121.1748	1	1
Geography.indicators.South_Eastern_Asia.Melanesia	0.0216	0.1455	0	0	0	4557.9028	0	0
Geography.indicators.Southern_Europe.Western_Europe	7.35E-03	0.0854	0	0	0	14413	0	0
Geography.indicators.Southern_Europe.Eastern_Europe	8.33E-03	0.0909	0	0	0	14168.1722	0	0
Geography.indicators.Southern_Europe.Eastern_Africa	1	0	0	0	0	1.00E+05	0	0
Geography.indicators.Southern_Europe.Western_Africa	0.0993	0.2991	0	0	1	11575.8851	0	0
Geography.indicators.Southern_Europe.Southern_Africa	9.16E-03	0.0953	0	0	0	14413	0	0
Geography.indicators.Southern_Europe.Micronesia	5.90E-03	0.0766	0	0	0	14413	0	0
Geography.indicators.Southern_Europe.Melanesia	0.7918	0.406	1	0	1	1107.6821	1	1
Geography.indicators.Western_Europe.Eastern_Europe	1	0	0	0	0	1.00E+05	0	0
Geography.indicators.Western_Europe.Eastern_Africa	0.0153	0.1226	0	0	0	14375.4337	0	0
Geography.indicators.Western_Europe.Western_Africa	4.51E-03	0.067	0	0	0	13320.0035	0	0
Geography.indicators.Western_Europe.Southern_Africa	5.76E-03	0.0757	0	0	0	14413	0	0
Geography.indicators.Western_Europe.Micronesia	6.04E-03	0.0775	0	0	0	14413	0	0
Geography.indicators.Western_Europe.Melanesia	5.00E-03	0.0705	0	0	0	14190.6934	0	0
Geography.indicators.Eastern_Europe.Eastern_Africa	1	0	0	0	0	1.00E+05	0	0
Geography.indicators.Eastern_Europe.Western_Africa	0.2851	0.4515	0	0	1	13258.5086	0	0
Geography.indicators.Eastern_Europe.Southern_Africa	5.62E-03	0.0748	0	0	0	12720.5354	0	0
Geography.indicators.Eastern_Europe.Micronesia	4.30E-03	0.0654	0	0	0	14198.3906	0	0
Geography.indicators.Eastern_Europe.Melanesia	9.44E-03	0.0967	0	0	0	11058.1974	0	0
Geography.indicators.Eastern_Africa.Western_Africa	1	0	0	0	0	1.00E+05	0	0
Geography.indicators.Eastern_Africa.Southern_Africa	1	0	0	0	0	1.00E+05	0	0
Geography.indicators.Eastern_Africa.Micronesia	3.05E-03	0.0552	0	0	0	14413	0	0
Geography.indicators.Eastern_Africa.Melanesia	0.1766	0.3814	0	0	1	988.027	0	0
Geography.indicators.Western_Africa.Southern_Africa	3.82E-03	0.0617	0	0	0	14413	0	0
Geography.indicators.Western_Africa.Micronesia	3.82E-03	0.0617	0	0	0	13827.2373	0	0
Geography.indicators.Western_Africa.Melanesia	9.78E-03	0.0984	0	0	0	8347.4198	0	0
Geography.indicators.Southern_Africa.Micronesia	6.73E-03	0.0818	0	0	0	13923.2658	0	0
Geography.indicators.Southern_Africa.Melanesia	9.78E-03	0.0984	0	0	0	12045.2123	0	0
Geography.indicators.Micronesia.Melanesia	5.97E-03	0.077	0	0	0	13491.0473	0	0
Geography.nonZeroRates	20.3212	1.1439	20	18	22	11740.2734	19	20
